,StateName,stateabb,ST_CODE,PC_CODE,bigstate,PCNAME,pc_name_n,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,year,representation
96,Bihar,BH,S04,38,1.0,Gaya (SC),Gaya,799210.0,702311.0,1501521.0,442912.0,364010.0,806922.0,2014.0,1.0
97,Bihar,BH,S04,39,1.0,Nawada,Nawada,897821.0,797019.0,1694895.0,478247.0,406136.0,884383.0,2014.0,0.0
98,Bihar,BH,S04,40,1.0,Jamui (SC),Jamui,828406.0,722499.0,1550936.0,415589.0,360008.0,775597.0,2014.0,0.0
99,Goa,GA,S05,1,2.0,North Goa,North Goa,255870.0,259571.0,515441.0,199489.0,205701.0,405190.0,2014.0,1.0
100,Goa,GA,S05,2,2.0,South Goa,South Goa,272438.0,272898.0,545336.0,195128.0,214329.0,409457.0,2014.0,1.0
101,Gujarat,GJ,S06,1,1.0,Kachchh,Kachchh,806343.0,727439.0,1533782.0,519100.0,423463.0,942563.0,2014.0,1.0
102,Gujarat,GJ,S06,2,1.0,Banaskantha,Banas Kantha,796124.0,719587.0,1515711.0,511698.0,371518.0,883216.0,2014.0,1.0
103,Gujarat,GJ,S06,3,1.0,Patan,Patan,846195.0,782446.0,1628641.0,525799.0,423880.0,949679.0,2014.0,0.0
104,Gujarat,GJ,S06,4,1.0,Mahesana,Mahesana,777821.0,720375.0,1498219.0,541116.0,456612.0,997735.0,2014.0,1.0
105,Gujarat,GJ,S06,5,1.0,Sabarkantha,Sabar Kantha,833521.0,782318.0,1615840.0,583583.0,502387.0,1085970.0,2014.0,0.0
106,Gujarat,GJ,S06,6,1.0,Gandhinagar,Gandhinagar,900744.0,833210.0,1733972.0,617164.0,511490.0,1128656.0,2014.0,0.0
107,Gujarat,GJ,S06,7,1.0,Ahmedabad East,Ahmadabad (East),852765.0,749057.0,1601832.0,557279.0,422980.0,980265.0,2014.0,0.0
108,Gujarat,GJ,S06,8,1.0,Ahmedabad West,Ahmadabad (West),800933.0,733462.0,1534400.0,531702.0,428771.0,960475.0,2014.0,1.0
109,Gujarat,GJ,S06,9,1.0,Surendranagar,Surendranagar,877745.0,778910.0,1656657.0,539246.0,399328.0,938575.0,2014.0,0.0
